370,0.0008,0.0001,0.0046
380,0.0045,0.0004,0.0224
390,0.0201,0.0015,0.0925
400,0.0611,0.0045,0.2799
410,0.1267,0.0093,0.5835
420,0.2285,0.0175,1.0622
430,0.3081,0.0273,1.4526
440,0.3312,0.0379,1.6064
450,0.2888,0.0468,1.4717
460,0.2323,0.06,1.288
470,0.1745,0.091,1.1133
480,0.092,0.139,0.7552
490,0.0318,0.208,0.4461
500,0.0048,0.323,0.2644
510,0.0093,0.503,0.1541
520,0.0636,0.71,0.0763
530,0.1668,0.862,0.0412
540,0.2926,0.954,0.02
550,0.4364,0.995,0.0088
560,0.597,0.995,0.0039
570,0.7642,0.952,0.002
580,0.9159,0.87,0.0016
590,1.0225,0.757,0.0011
600,1.0544,0.631,0.0007
610,0.9922,0.503,0.0003
620,0.8432,0.381,0.0002
630,0.6327,0.265,0.0001
640,0.4404,0.175,0
650,0.2787,0.107,0
660,0.1619,0.061,0
670,0.0858,0.032,0
680,0.0459,0.017,0
690,0.0222,0.0082,0
700,0.0113,0.0041,0
710,0.0057,0.0021,0
720,0.0028,0.0011,0
730,0.0015,0.0005,0
740,0.0005,0.0002,0
750,0.0003,0.0001,0
760,0.0002,0.0001,0
770,0.0001,0,0
780,0,0,0
