wl,n
0.252,1.523846
0.254,1.522945
0.256,1.522066
0.258,1.521208
0.26,1.52037
0.262,1.519552
0.264,1.518753
0.266,1.517972
0.268,1.517209
0.27,1.516463
0.272,1.515734
0.274,1.515021
0.276,1.514325
0.278,1.513643
0.28,1.512977
0.282,1.512325
0.284,1.511687
0.286,1.511063
0.288,1.510452
0.29,1.509854
0.292,1.509268
0.294,1.508695
0.296,1.508134
0.298,1.507584
0.3,1.507046
0.302,1.506518
0.304,1.506002
0.306,1.505495
0.308,1.504999
0.31,1.504512
0.312,1.504035
0.314,1.503568
0.316,1.503109
0.318,1.50266
0.32,1.502219
0.322,1.501786
0.324,1.501361
0.326,1.500945
0.328,1.500536
0.33,1.500135
0.332,1.499742
0.334,1.499355
0.336,1.498976
0.338,1.498603
0.34,1.498238
0.342,1.497878
0.344,1.497525
0.346,1.497179
0.348,1.496838
0.35,1.496504
0.352,1.496175
0.354,1.495852
0.356,1.495534
0.358,1.495222
0.36,1.494915
0.362,1.494613
0.364,1.494316
0.366,1.494025
0.368,1.493738
0.37,1.493455
0.372,1.493177
0.374,1.492904
0.376,1.492635
0.378,1.49237
0.38,1.49211
0.382,1.491854
0.384,1.491601
0.386,1.491353
0.388,1.491108
0.39,1.490867
0.392,1.490629
0.394,1.490396
0.396,1.490165
0.398,1.489938
0.4,1.489714
0.402,1.489494
0.404,1.489276
0.406,1.489062
0.408,1.48885
0.41,1.488641
0.412,1.488435
0.414,1.488231
0.416,1.488031
0.418,1.487833
0.42,1.487638
0.422,1.487446
0.424,1.487256
0.426,1.487069
0.428,1.486884
0.43,1.486702
0.432,1.486522
0.434,1.486345
0.436,1.48617
0.438,1.485997
0.44,1.485827
0.442,1.485659
0.444,1.485493
0.446,1.485329
0.448,1.485167
0.45,1.485008
0.452,1.484851
0.454,1.484695
0.456,1.484542
0.458,1.48439
0.46,1.484241
0.462,1.484094
0.464,1.483948
0.466,1.483804
0.468,1.483662
0.47,1.483522
0.472,1.483383
0.474,1.483247
0.476,1.483111
0.478,1.482978
0.48,1.482846
0.482,1.482716
0.484,1.482588
0.486,1.482461
0.488,1.482335
0.49,1.482211
0.492,1.482089
0.494,1.481968
0.496,1.481848
0.498,1.48173
0.5,1.481613
0.502,1.481498
0.504,1.481384
0.506,1.481271
0.508,1.48116
0.51,1.48105
0.512,1.480941
0.514,1.480834
0.516,1.480727
0.518,1.480622
0.52,1.480518
0.522,1.480416
0.524,1.480314
0.526,1.480214
0.528,1.480115
0.53,1.480016
0.532,1.479919
0.534,1.479823
0.536,1.479729
0.538,1.479635
0.54,1.479542
0.542,1.47945
0.544,1.479359
0.546,1.479269
0.548,1.479181
0.55,1.479093
0.552,1.479006
0.554,1.47892
0.556,1.478835
0.558,1.478751
0.56,1.478667
0.562,1.478585
0.564,1.478503
0.566,1.478423
0.568,1.478343
0.57,1.478264
0.572,1.478186
0.574,1.478108
0.576,1.478032
0.578,1.477956
0.58,1.477881
0.582,1.477807
0.584,1.477733
0.586,1.47766
0.588,1.477588
0.59,1.477517
0.592,1.477447
0.594,1.477377
0.596,1.477308
0.598,1.477239
0.6,1.477171
0.602,1.477104
0.604,1.477038
0.606,1.476972
0.608,1.476907
0.61,1.476842
0.612,1.476778
0.614,1.476715
0.616,1.476652
0.618,1.47659
0.62,1.476529
0.622,1.476468
0.624,1.476408
0.626,1.476348
0.628,1.476289
0.63,1.47623
0.632,1.476172
0.634,1.476115
0.636,1.476058
0.638,1.476001
0.64,1.475946
0.642,1.47589
0.644,1.475835
0.646,1.475781
0.648,1.475727
0.65,1.475674
0.652,1.475621
0.654,1.475568
0.656,1.475517
0.658,1.475465
0.66,1.475414
0.662,1.475364
0.664,1.475314
0.666,1.475264
0.668,1.475215
0.67,1.475166
0.672,1.475118
0.674,1.47507
0.676,1.475022
0.678,1.474975
0.68,1.474929
0.682,1.474883
0.684,1.474837
0.686,1.474791
0.688,1.474746
0.69,1.474702
0.692,1.474657
0.694,1.474614
0.696,1.47457
0.698,1.474527
0.7,1.474484
0.702,1.474442
0.704,1.4744
0.706,1.474358
0.708,1.474317
0.71,1.474276
0.712,1.474235
0.714,1.474195
0.716,1.474155
0.718,1.474115
0.72,1.474076
0.722,1.474037
0.724,1.473998
0.726,1.47396
0.728,1.473922
0.73,1.473884
0.732,1.473847
0.734,1.47381
0.736,1.473773
0.738,1.473737
0.74,1.4737
0.742,1.473665
0.744,1.473629
0.746,1.473594
0.748,1.473559
0.75,1.473524
0.752,1.473489
0.754,1.473455
0.756,1.473421
0.758,1.473387
0.76,1.473354
0.762,1.473321
0.764,1.473288
0.766,1.473255
0.768,1.473223
0.77,1.473191
0.772,1.473159
0.774,1.473127
0.776,1.473096
0.778,1.473065
0.78,1.473034
0.782,1.473003
0.784,1.472973
0.786,1.472942
0.788,1.472912
0.79,1.472883
0.792,1.472853
0.794,1.472824
0.796,1.472795
0.798,1.472766
0.8,1.472737
0.802,1.472709
0.804,1.47268
0.806,1.472652
0.808,1.472625
0.81,1.472597
0.812,1.47257
0.814,1.472542
0.816,1.472515
0.818,1.472489
0.82,1.472462
0.822,1.472436
0.824,1.472409
0.826,1.472383
0.828,1.472357
0.83,1.472332
0.832,1.472306
0.834,1.472281
0.836,1.472256
0.838,1.472231
0.84,1.472206
0.842,1.472182
0.844,1.472157
0.846,1.472133
0.848,1.472109
0.85,1.472085
0.852,1.472061
0.854,1.472038
0.856,1.472014
0.858,1.471991
0.86,1.471968
0.862,1.471945
0.864,1.471922
0.866,1.4719
0.868,1.471877
0.87,1.471855
0.872,1.471833
0.874,1.471811
0.876,1.471789
0.878,1.471767
0.88,1.471746
0.882,1.471724
0.884,1.471703
0.886,1.471682
0.888,1.471661
0.89,1.47164
0.892,1.47162
0.894,1.471599
0.896,1.471579
0.898,1.471558
0.9,1.471538
0.902,1.471518
0.904,1.471498
0.906,1.471479
0.908,1.471459
0.91,1.471439
0.912,1.47142
0.914,1.471401
0.916,1.471382
0.918,1.471363
0.92,1.471344
0.922,1.471325
0.924,1.471307
0.926,1.471288
0.928,1.47127
0.93,1.471251
0.932,1.471233
0.934,1.471215
0.936,1.471197
0.938,1.47118
0.94,1.471162
0.942,1.471144
0.944,1.471127
0.946,1.47111
0.948,1.471092
0.95,1.471075
0.952,1.471058
0.954,1.471041
0.956,1.471025
0.958,1.471008
0.96,1.470991
0.962,1.470975
0.964,1.470958
0.966,1.470942
0.968,1.470926
0.97,1.47091
0.972,1.470894
0.974,1.470878
0.976,1.470862
0.978,1.470846
0.98,1.470831
0.982,1.470815
0.984,1.4708
0.986,1.470785
0.988,1.470769
0.99,1.470754
0.992,1.470739
0.994,1.470724
0.996,1.470709
0.998,1.470695
1,1.47068
1.002,1.470665
1.004,1.470651
1.006,1.470636
1.008,1.470622
1.01,1.470608
1.012,1.470594
1.014,1.47058
1.016,1.470566
1.018,1.470552
1.02,1.470538
1.022,1.470524
1.024,1.47051
1.026,1.470497
1.028,1.470483
1.03,1.47047
1.032,1.470456
1.034,1.470443
1.036,1.47043
1.038,1.470417
1.04,1.470404
1.042,1.470391
1.044,1.470378
1.046,1.470365
1.048,1.470352
1.05,1.47034
1.052,1.470327
1.054,1.470314
1.056,1.470302
1.058,1.47029
1.06,1.470277
1.062,1.470265
1.064,1.470253
1.066,1.470241
1.068,1.470229
1.07,1.470217
1.072,1.470205
1.074,1.470193
1.076,1.470181
1.078,1.470169
1.08,1.470158
1.082,1.470146
1.084,1.470135
1.086,1.470123
1.088,1.470112
1.09,1.4701
1.092,1.470089
1.094,1.470078
1.096,1.470067
1.098,1.470056
1.1,1.470045
1.102,1.470034
1.104,1.470023
1.106,1.470012
1.108,1.470001
1.11,1.46999
1.112,1.46998
1.114,1.469969
1.116,1.469958
1.118,1.469948
1.12,1.469937
1.122,1.469927
1.124,1.469917
1.126,1.469906
1.128,1.469896
1.13,1.469886
1.132,1.469876
1.134,1.469866
1.136,1.469856
1.138,1.469846
1.14,1.469836
1.142,1.469826
1.144,1.469816
1.146,1.469807
1.148,1.469797
1.15,1.469787
1.152,1.469778
1.154,1.469768
1.156,1.469758
1.158,1.469749
1.16,1.46974
1.162,1.46973
1.164,1.469721
1.166,1.469712
1.168,1.469702
1.17,1.469693
1.172,1.469684
1.174,1.469675
1.176,1.469666
1.178,1.469657
1.18,1.469648
1.182,1.469639
1.184,1.46963
1.186,1.469622
1.188,1.469613
1.19,1.469604
1.192,1.469595
1.194,1.469587
1.196,1.469578
1.198,1.46957
1.2,1.469561
1.202,1.469553
1.204,1.469544
1.206,1.469536
1.208,1.469528
1.21,1.469519
1.212,1.469511
1.214,1.469503
1.216,1.469495
1.218,1.469487
1.22,1.469478
1.222,1.46947
1.224,1.469462
1.226,1.469454
1.228,1.469447
1.23,1.469439
1.232,1.469431
1.234,1.469423
1.236,1.469415
1.238,1.469407
1.24,1.4694
1.242,1.469392
1.244,1.469384
1.246,1.469377
1.248,1.469369
1.25,1.469362
