wl,n,k
0.2638,1.825,4.175
0.2652,1.854,4.262
0.2666,1.899,4.341
0.2681,1.954,4.439
0.2695,2.014,4.543
0.271,2.099,4.659
0.2725,2.188,4.735
0.274,2.293,4.855
0.2755,2.426,4.941
0.2771,2.574,5.031
0.2786,2.723,5.111
0.2802,2.877,5.158
0.2818,3.037,5.233
0.2834,3.232,5.28
0.285,3.406,5.332
0.2867,3.668,5.347
0.2883,3.926,5.353
0.29,4.205,5.272
0.2917,4.454,5.142
0.2935,4.659,4.949
0.2952,4.791,4.74
0.297,4.885,4.548
0.2988,4.928,4.364
0.3006,4.985,4.206
0.3024,4.986,4.067
0.3043,5.009,3.941
0.3061,5.025,3.827
0.308,5.024,3.744
0.31,5.029,3.645
0.3119,5.034,3.575
0.3139,5.039,3.492
0.3159,5.035,3.444
0.3179,5.032,3.392
0.32,5.051,3.347
0.322,5.068,3.286
0.3241,5.066,3.258
0.3263,5.091,3.213
0.3284,5.12,3.174
0.3306,5.135,3.146
0.3328,5.159,3.112
0.3351,5.177,3.083
0.3374,5.218,3.05
0.3397,5.247,3.032
0.342,5.277,3.009
0.3444,5.31,3.005
0.3468,5.363,3.008
0.3493,5.429,3.018
0.3517,5.487,3.028
0.3542,5.601,3.056
0.3568,5.752,3.092
0.3594,5.967,3.105
0.362,6.251,3.037
0.3647,6.563,2.869
0.3674,6.821,2.562
0.3701,6.989,2.163
0.3729,7.004,1.75
0.3757,6.899,1.404
0.3786,6.735,1.068
0.3815,6.548,0.871
0.3844,6.369,0.695
0.3875,6.191,0.587
0.3905,6.041,0.486
0.3936,5.897,0.44
0.3967,5.764,0.385
0.3999,5.649,0.326
0.4032,5.543,0.297
0.4065,5.45,0.259
0.4099,5.356,0.232
0.4133,5.279,0.203
0.4168,5.197,0.187
0.4203,5.126,0.171
0.4239,5.056,0.154
0.4275,4.994,0.142
0.4312,4.933,0.13
0.435,4.872,0.121
0.4389,4.825,0.108
0.4428,4.77,0.101
0.4468,4.722,0.095
0.4509,4.677,0.086
0.455,4.631,0.08
0.4592,4.591,0.069
0.4635,4.549,0.0626
0.4679,4.51,0.0568
0.4723,4.471,0.0482
0.4769,4.435,0.0427
0.4815,4.402,0.0393
0.4862,4.368,0.0362
0.491,4.337,0.0329
0.4959,4.309,0.028
0.5009,4.281,0.024
0.5061,4.252,0.0228
0.5113,4.224,0.0189
0.5166,4.2,0.0144
0.522,4.177,0.0122
0.5276,4.153,0.0109
0.5333,4.131,0.01
0.5391,4.109,0.008
0.545,4.089,0.0075
0.551,4.068,0.006
0.5572,4.049,0.0064
0.5636,4.029,0.0052
0.57,4.012,0.0047
0.5767,3.995,0.0045
0.5835,3.977,0.0038
0.5904,3.96,0.0035
0.5975,3.9441,0.0026
0.6048,3.9291,0.002
0.6123,3.9144,0.0024
0.6199,3.9,0.0017
0.6278,3.886,0.0013
0.6358,3.8723,0.0008
0.6441,3.8589,0.0013
0.6525,3.845,0.0017
0.6612,3.833,0.0021
0.6702,3.8205,0.0017
0.6794,3.8084,0.0024
0.6888,3.796,0.0029
0.6985,3.7851,0.0026
0.7085,3.7739,0.0024
0.7187,3.7631,0.0024
0.7293,3.753,0.0029
0.7402,3.7423,0.0026
0.7514,3.7324,0.004
0.763,3.7228,0.0044
0.7749,3.716,0.0012
0.7872,3.7046,0.0029
0.7999,3.696,0.0047
0.813,3.6877,0.005
0.8266,3.678,0.0046
